Common Name,Scientific Name,,,,,,,,,,https://en.wikipedia.org/wiki/List_of_commercially_important_fish_species
Grass carp,Ctenopharyngodon idella,,,,,,,,,,
Peruvian anchoveta,Engraulis ringens,,,,,,,,,,
Silver carp,Hypophthalmichthys molitrix,,,,,,,,,,
Common carp,Cyprinus carpio,,,,,,,,,,
Alaska pollock,Theragra chalcogramma,,,,,,,,,,
Nile tilapia,Oreochromis niloticus,,,,,,,,,,
Bighead carp,Hypophthalmichthys nobilis,,,,,,,,,,
Skipjack tuna,Katsuwonus pelamis,,,,,,,,,,
Catla,Catla catla,,,,,,,,,,
Crucian carp,Carassius carassius,,,,,,,,,,
Atlantic salmon,Salmo salar,,,,,,,,,,
Atlantic herring,Clupea harengus,,,,,,,,,,
Chub mackerel,Scomber japonicus,,,,,,,,,,
Rohu,Labeo rohita,,,,,,,,,,
Yellowfin tuna,Thunnus albacares,,,,,,,,,,
Japanese anchovy,Engraulis japonicus,,,,,,,,,,
Largehead hairtail,Trichiurus lepturus,,,,,,,,,,
Atlantic cody,Gadus morhua,,,,,,,,,,
European pilchard,Sardina pilchardus,,,,,,,,,,
Capelin,Mallotus villosus,,,,,,,,,,
Milkfish,Chanos chanos,,,,,,,,,,
Atlantic mackerel,Scomber scombrus,,,,,,,,,,
Rainbow trout,Oncorhynchus mykiss,,,,,,,,,,
Araucanian herring,Clupea bentincki,,,,,,,,,,
Wuchang bream,Megalobrama amblycephala,,,,,,,,,,
Gulf menhaden,Brevoortia patronus,,,,,,,,,,
Indian oil sardine,Sardinella longiceps,,,,,,,,,,